name,href
Alida Airaghi,/frasi-di/alida-airaghi/
Omraam Aivanhov,/frasi-di/omraam-aivanhov/
Ajahn o Achaan Chah,/frasi-di/ajahn-o-achaan-chah/
Nello Ajello,/frasi-di/nello-ajello/
Akbar the Great,/frasi-di/jalaluddin-muhammad-akbar-il-grande/
Pharaoh Akhenaten,/frasi-di/neferkheperura-waenra-akhenaton/
Anna Akhmatova,/frasi-di/anna-akhmatova/
Fatih Akin,/frasi-di/fatih-akin/
Adewale Akinnuoye-Agbaje,/frasi-di/adewale-akinnuoye-agbaje/
Al Bano,/frasi-di/al-bano/
Al Jolson,/frasi-di/al-jolson/
Weird Al,/frasi-di/alfred-matthew-yankovic/
Ibn al-Farid,/frasi-di/ibn-al-farid/
Shaykh Abd al-Ghani al-Nabulsi,/frasi-di/shaykh-abd-al-ghani-al-nabulsi/
Jim Al-Khalili,/frasi-di/jim-al-khalili/
Abu'l-Ala Al-Ma'arri,/frasi-di/abul-ala-al-maarri/
Anwar Al-Sadat,/frasi-di/muhammad-anwar-el-sadat/
Mohammed Saeed al-Sahaf,/frasi-di/mohammed-saeed-al-sahaf/
Sultan Salman Al-Saud,/frasi-di/sultan-salman-al-saud/
Alain,/frasi-di/emile-auguste-chartier/
Alan Reed,/frasi-di/alan-reed/
Alano di Lilla,/frasi-di/alano-di-lilla/
Jessica Alba,/frasi-di/jessica-alba/
Antonio Albanese,/frasi-di/antonio-albanese/
Emma Albani,/frasi-di/emma-albani/
Edward Franklin Albee III,/frasi-di/edward-franklin-albee-iii/
Francesco Alberoni,/frasi-di/francesco-alberoni/
Eddie Albert,/frasi-di/eddie-albert/
Albertano da Brescia,/frasi-di/albertano-da-brescia/
Barbara Alberti,/frasi-di/barbara-alberti/
Maria Elisabetta Alberti Casellati,/frasi-di/maria-elisabetta-alberti-casellati/
Leon Battista Alberti,/frasi-di/leon-battista-alberti/
Rafael Alberti,/frasi-di/rafael-alberti/
Edoardo Albinati,/frasi-di/edoardo-albinati/
Valerio Albisetti,/frasi-di/valerio-albisetti/
Núria Albó i Corrons,/frasi-di/nuria-albo-i-corrons/
Karl Hans Albrecht,/frasi-di/karl-hans-albrecht/
Herm Albright,/frasi-di/herm-albright/
Black Elk,/frasi-di/alce-nero/
Alcaeus of Mytilene,/frasi-di/alceo/
Alcmane,/frasi-di/alcmane/
Amos Bronson Alcott,/frasi-di/amos-bronson-alcott/
Louisa May Alcott,/frasi-di/louisa-may-alcott/
Alcuino da York,/frasi-di/alcuino-da-york/
Alan Alda,/frasi-di/alan-alda/
David Aldana,/frasi-di/david-aldana/
Naomi Alderman,/frasi-di/naomi-alderman/
Richard Aldington,/frasi-di/richard-aldington/
Brian Aldiss,/frasi-di/brian-aldiss/
Aldous Leonard Huxley,/frasi-di/aldous-leonard-huxley/
Robert Aldrich,/frasi-di/robert-aldrich/
Thomas Bailey Aldrich,/frasi-di/thomas-bailey-aldrich/
Buzz Aldrin,/frasi-di/buzz-aldrin/
Sholem Aleichem,/frasi-di/sholem-aleichem/
Vicente Aleixandre,/frasi-di/vicente-aleixandre/
Aleksandr Val'terovič Litvinenko,/frasi-di/aleksandr-valterovic-litvinenko/
Svetlana Aleksievič,/frasi-di/svjatlana-aleksievic/
Mateo Alemán,/frasi-di/mateo-aleman-y-de-enero/
Sibilla Aleramo,/frasi-di/sibilla-aleramo/
Alessandro di Hohenlohe-Waldenburg-Schillingsfürst,/frasi-di/alessandro-di-hohenlohe-waldenburg-schillingsfurst/
Emperor Alexander II of Russia,/frasi-di/alexander-ii-of-russia/
King Alexander The Great,/frasi-di/alexander-the-great/
Art Alexakis,/frasi-di/art-alexakis/
Eben Alexander,/frasi-di/eben-alexander/
Franz Gabriel Alexander,/frasi-di/franz-gabriel-alexander/
Jason Shawn Alexander,/frasi-di/jason-shawn-alexander/
Lloyd Alexander,/frasi-di/lloyd-alexander/
Alexander McQueen,/frasi-di/alexander-mcqueen/
Shana Alexander,/frasi-di/shana-alexander/
Alexander Supertramp,/frasi-di/christopher-johnson-mccandless/
Thea Alexander,/frasi-di/thea-alexander/
Gianni Alfani,/frasi-di/gianni-alfani/
Angelino Alfano,/frasi-di/angelino-alfano/
Vittorio Alfieri,/frasi-di/vittorio-alfieri/
King Alfonso X the Wise,/frasi-di/alfonso-fernandez-di-castiglia/
Helen Alfredsson,/frasi-di/helen-alfredsson/
Hannes Olof Gösta Alfvern,/frasi-di/hannes-olof-gosta-alfvern/
Francesco Algarotti,/frasi-di/francesco-algarotti/
William Rounseville Alger,/frasi-di/william-rounseville-alger/
Nelson Algren,/frasi-di/nelson-algren/
Ali Khamenei,/frasi-di/ali-khamenei/
Laila Ali,/frasi-di/laila-ali/
Mahershala Ali,/frasi-di/mahershala-ali/
Muhammad Ali,/frasi-di/muhammad-ali/
Dante,/frasi-di/dante-alighieri/
Saul David Alinsky,/frasi-di/saul-alinsky/
Alphonse Allais,/frasi-di/alphonse-allais/
Maurice Allais,/frasi-di/maurice-allais/
Roger Allam,/frasi-di/roger-allam/
Charles M. Allen,/frasi-di/charles-m-allen/
Dave Allen,/frasi-di/dave-allen/
David Allen,/frasi-di/david-allen/
Fred Allen,/frasi-di/fred-allen/
Gracie Allen,/frasi-di/gracie-allen/
James Lane Allen,/frasi-di/james-lane-allen/
Jo Harvey Allen,/frasi-di/jo-harvey-allen/
Joan Allen,/frasi-di/joan-allen/
Robert Lee Allen,/frasi-di/robert-lee-allen/
Steve Allen,/frasi-di/steve-allen/
Tim Allen,/frasi-di/tim-allen/
William Randall Allen,/frasi-di/william-randall-allen/
Eric Allenbaugh,/frasi-di/eric-allenbaugh/
Isabel Allende,/frasi-di/isabel-allende/
Salvador Allende,/frasi-di/salvador-allende/
René Félix Eugène Allendy,/frasi-di/rene-felix-eugene-allendy/
Roger Allers,/frasi-di/roger-allers/
Giovanni Allevi,/frasi-di/giovanni-allevi/
Margery Allingham,/frasi-di/margery-allingham/
Howard Duane Allman,/frasi-di/howard-duane-allman/
Guido Almansi,/frasi-di/guido-almansi/
Guy Almes,/frasi-di/guy-almes/
Giorgio Almirante,/frasi-di/giorgio-almirante/
Pedro Almodóvar,/frasi-di/pedro-almodovar/
Almudena Grandes,/frasi-di/almudena-grandes/
Ruthy Alon,/frasi-di/ruthy-alon/
